"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计","フ"
"2017/07/18","3,277,706","269,432,663","82.20","82.40","81.85","82.40","+0.20","799",
"2017/07/19","7,267,690","601,075,693","82.35","83.00","82.35","82.70","+0.30","2,647",
"2017/07/20","2,020,686","167,118,472","82.85","82.90","82.55","82.65","-0.05","564",
"2017/07/21","4,465,912","367,035,273","82.60","82.60","82.05","82.10","-0.55","1,448",
"2017/07/24","2,364,317","194,054,288","81.95","82.30","81.75","82.30","+0.20","973",
"2017/07/25","2,126,646","175,014,217","82.30","82.50","82.10","82.45","+0.15","676",
"2017/07/26","2,357,445","194,141,125","82.55","82.75","82.05","82.15","-0.30","865",
"2017/07/27","2,213,720","183,279,010","82.20","83.00","82.20","83.00","+0.85","696",
"2017/07/28","4,401,601","361,925,338","82.40","82.45","81.95","82.10","-0.90","1,291",
"2017/07/31","2,806,599","228,312,297","81.45","81.50","81.05","81.35","X0.00","879",
"2017/06/01","2,221,692","170,334,430","76.50","76.90","76.50","76.90","+0.40","782",
"2017/06/02","3,540,934","273,287,776","77.30","77.30","77.05","77.20","+0.30","733",
"2017/06/03","2,052,295","158,709,516","77.25","77.40","77.25","77.40","+0.20","541",
"2017/06/05","3,281,752","254,540,406","77.35","78.00","77.25","78.00","+0.60","849",
"2017/06/06","1,203,007","93,684,346","77.95","77.95","77.70","77.95","-0.05","618",
"2017/06/07","1,844,790","143,852,570","77.90","78.10","77.70","77.95"," 0.00","485",
"2017/06/08","1,886,861","147,421,476","77.95","78.25","77.80","78.25","+0.30","489",
"2017/06/09","3,010,414","235,254,296","78.05","78.35","77.95","78.00","-0.25","1,261",
"2017/06/12","3,300,815","254,991,488","77.15","77.50","77.05","77.15","-0.85","1,008",
"2017/06/13","1,615,980","124,661,164","77.15","77.30","77.00","77.25","+0.10","437",
"2017/06/14","3,380,592","259,920,485","77.40","77.40","76.50","76.85","-0.40","775",
"2017/06/15","1,507,476","115,742,992","76.80","76.90","76.60","76.90","+0.05","473",
"2017/06/16","4,233,093","327,234,575","76.90","77.70","76.85","77.70","+0.80","711",
"2017/06/19","5,144,835","403,115,770","77.70","78.55","77.70","78.55","+0.85","1,459",
"2017/06/20","4,046,834","320,905,688","78.60","79.65","78.60","79.45","+0.90","1,306",
"2017/06/21","13,612,954","1,084,759,757","79.20","79.90","78.85","79.55","+0.10","2,001",
"2017/06/22","6,112,800","487,656,013","79.60","79.85","79.55","79.75","+0.20","1,120",
"2017/06/23","8,517,089","679,313,575","79.75","80.05","79.65","79.70","-0.05","3,426",
"2017/06/26","14,254,481","1,152,368,187","79.80","81.50","79.80","81.40","+1.70","2,367",
"2017/06/27","3,026,202","245,706,817","81.40","81.50","81.00","81.30","-0.10","1,145",
"2017/06/28","6,286,912","506,227,717","80.90","81.05","80.30","80.55","-0.75","2,321",
"2017/06/29","1,427,255","115,380,165","81.00","81.05","80.50","80.65","+0.10","513",
"2017/06/30","3,070,653","245,991,027","80.10","80.40","79.80","80.40","-0.25","854",
"2017/05/02","15,728,364","1,183,549,491","75.00","75.40","75.00","75.20","+0.65","2,827",
"2017/05/03","4,711,953","355,729,364","75.30","75.65","75.30","75.55","+0.35","1,708",
"2017/05/04","3,996,825","301,811,102","75.55","75.65","75.35","75.65","+0.10","1,145",
"2017/05/05","5,287,815","397,880,732","75.45","75.45","75.10","75.15","-0.50","1,320",
"2017/05/08","4,083,374","308,091,358","75.55","75.70","75.25","75.70","+0.55","1,054",
"2017/05/09","4,190,236","319,313,121","75.70","76.50","75.70","75.95","+0.25","1,120",
"2017/05/10","1,763,035","134,244,947","76.15","76.35","76.00","76.25","+0.30","638",
"2017/05/11","2,018,313","154,148,338","76.10","76.50","76.00","76.50","+0.25","736",
"2017/05/12","2,810,989","214,492,626","76.25","76.50","76.15","76.30","-0.20","539",
"2017/05/15","1,285,720","98,284,746","76.30","76.55","76.20","76.50","+0.20","539",
"2017/05/16","1,598,332","122,092,507","76.50","76.60","76.25","76.50"," 0.00","803",
"2017/05/17","1,331,528","101,438,562","76.30","76.40","76.05","76.30","-0.20","476",
"2017/05/18","4,271,928","323,392,357","75.65","75.90","75.30","75.90","-0.40","943",
"2017/05/19","1,162,847","88,166,922","75.65","75.90","75.65","75.85","-0.05","297",
"2017/05/22","2,576,137","195,790,949","75.95","76.15","75.75","76.05","+0.20","761",
"2017/05/23","3,844,351","292,887,587","76.05","76.45","76.00","76.35","+0.30","568",
"2017/05/24","2,886,268","220,350,338","76.35","76.45","76.25","76.30","-0.05","645",
"2017/05/25","4,681,977","360,095,129","76.70","77.00","76.45","77.00","+0.70","1,568",
"2017/05/26","4,018,329","308,975,447","77.00","77.15","76.75","76.95","-0.05","598",
"2017/05/31","2,701,301","207,172,841","76.95","77.50","76.40","76.50","-0.45","765",
"2017/04/05","3,594,368","267,911,149","73.95","74.80","73.95","74.65","+0.95","1,177",
"2017/04/06","2,811,150","209,240,706","74.80","74.80","74.30","74.40","-0.25","880",
"2017/04/07","1,889,165","139,505,932","74.30","74.30","73.40","74.10","-0.30","887",
"2017/04/10","1,060,789","78,625,981","74.10","74.25","74.00","74.20","+0.10","394",
"2017/04/11","1,266,959","93,779,536","74.10","74.40","73.75","73.90","-0.30","647",
"2017/04/12","1,940,147","143,460,184","73.90","74.10","73.65","74.05","+0.15","802",
"2017/04/13","6,004,675","446,309,468","73.90","74.45","73.90","74.40","+0.35","877",
"2017/04/14","2,674,280","196,994,842","73.90","73.90","73.50","73.55","-0.85","1,263",
"2017/04/17","5,339,490","393,147,347","73.55","73.80","73.35","73.60","+0.05","1,008",
"2017/04/18","4,099,924","302,371,805","73.85","74.00","73.50","73.60"," 0.00","671",
"2017/04/19","9,185,446","669,532,623","73.10","73.25","72.65","72.80","-0.80","3,402",
"2017/04/20","3,142,256","228,422,188","72.55","72.90","72.50","72.80"," 0.00","1,420",
"2017/04/21","3,247,213","238,184,129","73.25","73.50","73.10","73.50","+0.70","1,035",
"2017/04/24","4,309,464","317,407,130","73.90","73.95","73.45","73.65","+0.15","896",
"2017/04/25","5,698,061","422,598,229","73.85","74.40","73.70","74.35","+0.70","1,525",
"2017/04/26","4,117,953","307,089,866","74.70","74.70","74.40","74.55","+0.20","953",
"2017/04/27","3,685,290","273,944,187","74.35","74.50","74.15","74.50","-0.05","734",
"2017/04/28","4,423,100","329,448,991","74.50","74.60","74.30","74.55","+0.05","938",
"2017/03/01","3,107,350","225,726,160","73.10","73.10","72.35","72.35","-0.80","1,270",
"2017/03/02","7,057,872","512,240,160","72.95","73.25","72.25","72.55","+0.20","1,735",
"2017/03/03","4,410,226","318,135,638","72.30","72.35","72.00","72.10","-0.45","1,751",
"2017/03/06","2,177,363","157,105,795","72.05","72.25","72.00","72.15","+0.05","882",
"2017/03/07","2,027,296","146,868,581","72.25","72.60","72.25","72.45","+0.30","833",
"2017/03/08","2,182,147","158,530,106","72.65","72.85","72.45","72.85","+0.40","842",
"2017/03/09","3,381,395","243,825,130","72.60","72.60","71.95","72.05","-0.80","1,599",
"2017/03/10","5,423,285","389,031,634","71.95","72.05","71.55","72.00","-0.05","1,558",
"2017/03/13","2,515,382","182,074,433","72.15","72.50","72.15","72.50","+0.50","779",
"2017/03/14","3,948,353","287,952,737","72.60","73.10","72.60","73.00","+0.50","1,207",
"2017/03/15","3,490,372","254,234,206","72.80","73.00","72.60","72.85","-0.15","1,293",
"2017/03/16","7,545,149","555,972,274","73.30","73.85","73.30","73.80","+0.95","2,754",
"2017/03/17","5,265,875","389,526,850","73.85","74.10","73.75","74.00","+0.20","2,375",
"2017/03/20","5,073,186","375,539,714","73.95","74.15","73.85","73.95","-0.05","1,028",
"2017/03/21","8,511,270","634,988,551","74.30","74.90","74.30","74.90","+0.95","1,843",
"2017/03/22","4,939,975","366,163,705","74.25","74.25","74.00","74.20","-0.70","1,268",
"2017/03/23","4,105,955","305,444,615","74.60","74.65","74.15","74.35","+0.15","687",
"2017/03/24","3,308,120","245,456,942","74.35","74.40","74.10","74.25","-0.10","548",
"2017/03/27","2,474,340","183,601,806","74.00","74.40","73.85","74.20","-0.05","582",
"2017/03/28","5,565,534","413,437,983","74.55","74.60","73.95","74.25","+0.05","1,726",
"2017/03/29","2,464,193","182,878,025","74.45","74.50","74.00","74.00","-0.25","551",
"2017/03/30","2,181,458","161,500,292","74.00","74.25","73.90","73.90","-0.10","424",
"2017/03/31","2,008,887","148,377,572","73.95","74.10","73.70","73.70","-0.20","614",
"2017/02/02","6,999,147","511,783,003","73.50","73.65","72.75","72.90","-0.40","1,808",
"2017/02/03","2,809,194","204,726,612","72.95","73.15","72.65","72.85","-0.05","1,203",
"2017/02/06","2,947,246","215,765,564","73.00","73.40","72.95","73.25","+0.40","1,195",
"2017/02/07","4,305,232","315,681,749","73.10","73.45","73.10","73.30","+0.05","1,897",
"2017/02/08","4,433,939","317,740,281","71.90","71.90","71.35","71.75","X0.00","2,095",
"2017/02/09","3,548,420","255,343,191","71.75","72.20","71.65","72.00","+0.25","857",
"2017/02/10","4,869,787","353,758,401","72.10","72.95","72.10","72.80","+0.80","1,148",
"2017/02/13","3,330,147","243,215,631","72.80","73.10","72.80","72.95","+0.15","924",
"2017/02/14","6,071,668","445,062,006","73.40","73.50","73.10","73.20","+0.25","1,379",
"2017/02/15","9,407,004","692,431,969","73.30","73.90","73.20","73.90","+0.70","2,298",
"2017/02/16","5,466,631","402,438,648","74.00","74.20","73.35","73.45","-0.45","1,713",
"2017/02/17","5,192,773","381,393,148","73.65","73.70","73.35","73.35","-0.10","1,184",
"2017/02/18","3,227,803","237,095,308","73.30","73.55","73.20","73.50","+0.15","1,190",
"2017/02/20","2,802,606","205,434,206","73.55","73.65","73.10","73.10","-0.40","1,401",
"2017/02/21","3,337,389","244,318,096","73.20","73.40","73.05","73.25","+0.15","527",
"2017/02/22","2,938,397","215,548,987","73.60","73.70","73.15","73.30","+0.05","484",
"2017/02/23","2,332,442","170,965,930","73.25","73.55","73.10","73.10","-0.20","571",
"2017/02/24","1,844,790","134,857,020","73.05","73.30","72.85","73.15","+0.05","615",
"2017/01/03","2,331,431","167,301,490","71.70","71.90","71.50","71.90","+0.10","451",
"2017/01/04","4,284,195","308,177,877","72.00","72.10","71.75","71.85","-0.05","614",
"2017/01/05","4,573,600","330,422,521","71.85","72.50","71.80","72.50","+0.65","1,236",
"2017/01/06","3,752,998","272,387,663","72.45","72.75","72.45","72.65","+0.15","980",
"2017/01/09","5,038,290","366,344,482","72.75","72.95","72.30","72.45","-0.20","1,057",
"2017/01/10","1,857,853","134,624,612","72.45","72.60","72.40","72.40","-0.05","422",
"2017/01/11","1,898,053","137,621,077","72.80","72.85","72.40","72.40"," 0.00","589",
"2017/01/12","4,857,459","354,847,738","72.60","73.30","72.60","73.15","+0.75","1,399",
"2017/01/13","3,909,860","284,091,239","72.80","72.80","72.60","72.60","-0.55","835",
"2017/01/16","2,418,439","174,145,772","72.40","72.40","71.80","72.00","-0.60","881",
"2017/01/17","1,572,741","113,686,311","72.00","72.40","72.00","72.30","+0.30","494",
"2017/01/18","3,837,818","276,891,011","72.20","72.20","72.05","72.15","-0.15","679",
"2017/01/19","4,065,559","292,416,114","71.85","72.10","71.60","71.95","-0.20","665",
"2017/01/20","2,422,174","174,730,158","71.95","72.25","71.95","72.15","+0.20","1,433",
"2017/01/23","5,965,089","434,672,631","72.55","73.00","72.55","72.75","+0.60","1,534",
"2017/01/24","4,575,104","334,830,127","73.00","73.30","72.90","73.30","+0.55","1,858",















